iter	Passed	Remaining
0	1	126
1	2	114
2	3	106
3	4	96
4	4	92
5	5	89
6	6	88
7	7	86
8	8	85
9	9	83
10	10	82
11	11	82
12	12	80
13	13	80
14	14	80
15	15	79
16	16	79
17	17	77
18	17	76
19	18	74
20	19	73
21	20	71
22	21	70
23	22	70
24	23	69
25	24	68
26	25	67
27	25	66
28	27	66
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	34	59
37	35	58
38	36	57
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	88	2
97	89	1
98	90	0
99	91	0
